# Example Output File

axisnames,Right Ascension,Declination,Frequency,Stokes,Velocity,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
refpix,-30.0,140.0,-1400.0,0.0,0.0,,,,,,,,,
axisunits,deg,deg,Hz,,km/s,,,,,,,,,
refval,270.74835293485432,-20.4583923'5498799,14085432905.432095,1.0,-1654.4325432569054,,,,,,,,,
increment,-1.433233458e-05,1.494839208e-05,-49204.484932045720,1.0,0.948392034980845890238,,,,,,,,,
Channel,RA (pix),DEC (pix),RAerror (pix),DECerror (pix),RA (deg),DEC (deg),RAerror (arcsec),DECerror (arcsec),Freq (GHz),Vel (km/s),PeakFlux (Jy/beam),PeakFluxError (Jy/beam),FluxDens (Jy),FluxDensError (Jy)
1102,110.54892098457890,99.48430239875895,0.0545632186987423,0.15472349089098732,250.42304987548394,-30.432058754320987,-8.409834757893278e-07,0.005452898072345976,14.325430987549875,-60.42349085743273,0.10984237509752439,0.002156984156365489,0.14235984752348908,0.004432098723459827
1108,111.84930294857489,99.49098484893928,0.01568335258645653,0.04132854621312654,250.4324504987998,-30.438209874532798,-2.897542309875432e-07,0.0024329587098789038,14.314832909875433,-50.43205987423985,0.5474597547983925,0.0011836857863325418,0.31685753486443458,0.003432582375498764
1118,110.48320984575483,98.09870234568997,0.0578965321325646,0.11563521231368546,250.23459084523409,-30.432084358793488,-8.482308567893456e-07,0.005998324098754389,14.32543212351128,-40.43240958273789,0.24032987540394325,0.0021786368178916184,0.56544856458654841,0.005432098574328769
1166,109.48392303948467,99.84847575939306,0.27896325112321236,0.41325683251654237,250.43298709875429,-30.438209877543296,-4.854320874523894e-06,0.024329875423098754,14.322587541234655,-40.42350987423983,0.04498537209874164,0.002156196871456368,0.04023948572309867,0.0044320945872345986
1204,111.14943209879034,97.09432948757399,0.03456321565621413,0.07247489203989845,250.4328908754298,-30.423840874523782,-5.489409857893457e-07,0.0034329876452378987,14.324651988374566,-35.40325847324851,0.21896354161411654,0.0011898698717481387,0.15641987413654188,0.0034320958743589765
1222,109.84839209384857,99.49903984875932,0.27896365211238558,0.4234156323245155,250.43298087543208,-30.42345329480985,-3.5843209895439088e-06,0.024292876543278986,14.32153578441896,-34.40234908578987,0.08432985784395267,0.004432587654230897,0.01786752417985180,0.00843259847543829
1509,109.48392098435783,98.75843920493939,0.03782258523355455,0.0842345643232154,250.48320987543279,-30.4324950987546,-6.490320987457888e-07,0.004543289098754328,14.323254178638711,30.78532897234882,0.25324724358990253,0.0024329857324966,0.51013773783078307,0.004234598098724547
1565,108.489324598086,100.4393025758392,0.09789654231354235,0.24235415432621235,250.43280987453298,-30.43209854378787,-1.9032848485523457e-06,0.014329876543278958,14.32153183687135,30.45843299845789,0.04023958778490024,0.0024230958732459863,0.08432098725423986,0.003432045987643288
